vid percent
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0.0257
DNK000005491 0
DNK000005491 0
DNK000005491 0.0177
DNK000005491 0.0513
DNK000005491 0
DNK000005491 0.0469
DNK000005491 0
DNK000005491 0.2477
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005491 0
DNK000005636 0
DNK000005636 0.036
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0.4118
DNK000005636 0.3822
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 1.4298
DNK000005636 4e-04
DNK000005636 1.9626
DNK000005636 0
DNK000005636 5e-04
DNK000005636 1.6581
DNK000005636 0
DNK000005636 0.096
DNK000005636 0.0114
DNK000005636 0.2171
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005636 0
DNK000005649 0
DNK000005649 0.6619
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0.445
DNK000005649 0.8885
DNK000005649 0
DNK000005649 0
DNK000005649 0.0014
DNK000005649 2.1557
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0.2157
DNK000005649 0.0359
DNK000005649 2.4425
DNK000005649 0
DNK000005649 0.0169
DNK000005649 0.7788
DNK000005649 0
DNK000005649 0.3164
DNK000005649 0
DNK000005649 1.8637
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005649 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0.1352
DNK000005654 0.2308
DNK000005654 0
DNK000005654 0
DNK000005654 1.7268
DNK000005654 0
DNK000005654 0
DNK000005654 0.8468
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0.6506
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0.2854
DNK000005654 0
DNK000005654 0.6847
DNK000005654 0
DNK000005654 0
DNK000005654 0.3627
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 1.6899
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005654 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0.3319
DNK000005779 0.1326
DNK000005779 0
DNK000005779 0
DNK000005779 0.4307
DNK000005779 0.0034
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0.3347
DNK000005779 0
DNK000005779 0
DNK000005779 4.4265
DNK000005779 0
DNK000005779 0
DNK000005779 0.0038
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005779 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0.0039
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 2e-04
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0.0977
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0.1291
DNK000005787 0
DNK000005787 0
DNK000005787 0.0232
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005787 0
DNK000005850 0.0033
DNK000005850 0.6817
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0.0019
DNK000005850 0.4975
DNK000005850 0
DNK000005850 0
DNK000005850 4e-04
DNK000005850 0.0061
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0.0042
DNK000005850 0
DNK000005850 0
DNK000005850 0.0079
DNK000005850 0
DNK000005850 0.0034
DNK000005850 0.6191
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000005850 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0.1167
DNK000006040 1.2671
DNK000006040 0
DNK000006040 0
DNK000006040 0.1345
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 5.0697
DNK000006040 0
DNK000006040 0
DNK000006040 2.8662
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0.2241
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006040 0
DNK000006076 0
DNK000006076 0.3725
DNK000006076 5e-04
DNK000006076 0.1697
DNK000006076 0
DNK000006076 0
DNK000006076 0.4109
DNK000006076 0
DNK000006076 0.018
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0.0507
DNK000006076 0.6018
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0
DNK000006076 0.3078
DNK000006076 0
