Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 5 32 64 93 156 130 303 364 384 382 303 216
DNK000006541 2015 17.999 55.197 a_stock 11 0 0 0 0 0 0 0 0 1 0 0 0 0 0
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 1 0 0 0 0 0 0
DNK000038910 2015 15.693 55.172 a_stock 11 0 0 11 49 36 31 88 16 158 249 227 257 181 118
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 13 12 2 0 0 0 0
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 221 1128 771 513 939 266 605 703 668 743 731 388
DNK000011464 2015 15.215 55.199 a_stock 11 0 0 0 0 0 0 0 0 0 1 1 1 0 0
DNK000038910 2015 15.693 55.172 a_stock 11 0 0 0 0 0 0 0 17 105 132 115 129 91 59
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 70 209 241 173 312 818 2733 2702 2479 2770 1627 2050
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 7 2 0 0 0 0 0
DNK000013639 2015 15.632 55.18 a_stock 11 0 0 0 0 0 0 0 1 0 0 0 0 0 0
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 221 1128 771 513 939 268 605 703 668 743 731 388
DNK000013667 2015 15.727 55.027 a_stock 11 0 0 0 0 0 0 0 19 107 144 134 160 106 69
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 38 192 213 250 519 314 1073 1392 1345 1386 1046 700
DNK000038910 2015 15.693 55.172 a_stock 11 0 0 0 0 0 0 0 9 17 4 1 0 0 0
DNK000032153 2015 15.425 55.313 a_stock 11 0 0 5 32 64 93 156 130 303 364 385 382 303 216
DNK000011464 2015 15.215 55.199 a_stock 11 0 0 0 0 0 0 1 1 1 1 2 1 1 1
